name,category,skin_type,price,image
Cetaphil Gentle Cleanser,Skincare,All,499,cetaphil.jpg
Dot & Key Sunscreen SPF50,Skincare,Oily,599,dotkey.jpg
Minimalist Vitamin C Serum,Skincare,All,699,minimalist.jpg
Plum Green Tea Toner,Skincare,Oily,399,plum.jpg
Neutrogena Hydro Boost Gel,Skincare,Dry,899,neutrogena.jpg
Foxtale Daily Moisturizer,Skincare,Dry,549,foxtale.jpg
Pilgrim Retinol Serum,Skincare,All,799,pilgrim.jpg
Mamaearth Tea Tree Face Wash,Skincare,Oily,349,mamaearth.jpg
Simple Refreshing Face Wash,Skincare,Dry,450,simple.jpg
Bioderma Sensibio Cleanser,Skincare,All,999,bioderma.jpg
Maybelline Fit Me Foundation,Makeup,Oily,649,maybelline_foundation.jpg
Lakme Primer,Makeup,All,499,lakme_primer.jpg
Swiss Beauty Lipstick,Makeup,All,299,swiss_beauty.jpg
Maybelline Sky High Mascara,Makeup,All,549,maybelline_mascara.jpg
Lakme Compact Powder,Makeup,Oily,399,lakme_compact.jpg
Colorbar Velvet Lipstick,Makeup,All,599,colorbar.jpg
Faces Canada Primer,Makeup,All,499,faces_primer.jpg
Sugar Concealer,Makeup,All,699,sugar.jpg
Insight Blush,Makeup,All,250,insight.jpg
Kay Beauty Kajal,Makeup,All,399,kay_kajal.jpg
L'Oréal Paris Shampoo,Haircare,All,399,loreal.jpg
Dove Intense Repair Shampoo,Haircare,All,349,dove.jpg
Tresemme Conditioner,Haircare,All,399,tresemme.jpg
Mamaearth Onion Hair Oil,Haircare,All,499,onion_oil.jpg
BBlunt Hair Serum,Haircare,All,550,bblunt.jpg
Bella Vita CEO,Perfume,All,699,bella_ceo.jpg
Bella Vita Date,Perfume,All,699,bella_date.jpg
Villain Eau De Parfum,Perfume,All,899,villain.jpg
Fogg Impressio,Perfume,All,499,fogg.jpg
Denver Hamilton,Perfume,All,599,denver.jpg

